File:,IHME_RETROSPECTIVE_FINANCING_1995_2014_Y2017M04D19,,,,,,,,,,,,,,,,,,,
Variable:,year,location_id,location_name,iso3,level,the_total,the_per_gdp,the_per_cap,ghes_per_the,ppp_per_the,oop_per_the,dah_per_the,ghes_per_cap,ppp_per_cap,oop_per_cap,dah_per_cap,ghes_per_gdp,ppp_per_gdp,oop_per_gdp,dah_per_gdp
Label:,Year,Location ID,Location Name,ISO 3-digit Code,Location Category,Total Health Spending (2015 PPP $),Total Health Spending per Gross Domestic Product,Total Health Spending per Capita (2015 PPP $),Government Spending as Share of Total Health Spending,Prepaid Private Spending as Share of Total Health Spending,Out-of-Pocket Spending as Share of Total Health Spending,Development Assistance for Health as Share of Total Health Spending,Government Spending per Capita (2015 PPP $),Prepaid Private Spending per Capita (2015 PPP $),Out-of-Pocket Spending per Capita (2015 PPP $),Development Assistance for Health per Capita (2015 PPP $),Government Spending per Gross Domestic Product,Prepaid Private Spending per Gross Domestic Product,Out-of-Pocket Spending per Gross Domestic Product,Development Assistance for Health per Gross Domestic Product
,2014,121,Bolivia,BOL,,,,,,,,,,,,,,,,
,,44,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,
,,193,Botswana,BWA,,,,,,,,,,,,,,,,
,,135,Brazil,BRA,,,,,,,,,,,,,,,,
,,66,Brunei,BRN,,,,,,,,,,,,,,,,
,,45,Bulgaria,BGR,,,,,,,,,,,,,,,,
,,201,Burkina Faso,BFA,,,,,,,,,,,,,,,,
,,175,Burundi,BDI,,,,,,,,,,,,,,,,
,,10,Cambodia,KHM,,,,,,,,,,,,,,,,
,,202,Cameroon,CMR,,,,,,,,,,,,,,,,
,,101,Canada,CAN,,,,,,,,,,,,,,,,
,,203,Cape Verde,CPV,,,,,,,,,,,,,,,,
,,169,Central African Republic,CAF,,,,,,,,,,,,,,,,
,,31,"Central Europe, Eastern Europe, and Central Asia",,,,,,,,,,,,,,,,,
,,204,Chad,TCD,,,,,,,,,,,,,,,,
,,98,Chile,CHL,,,,,,,,,,,,,,,,
,,6,China,CHN,,,,,,,,,,,,,,,,
,,125,Colombia,COL,,,,,,,,,,,,,,,,
,,176,Comoros,COM,,,,,,,,,,,,,,,,
,,170,Congo,COG,,,,,,,,,,,,,,,,
,,126,Costa Rica,CRI,,,,,,,,,,,,,,,,
,,205,Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,
,,46,Croatia,HRV,,,,,,,,,,,,,,,,
,,109,Cuba,CUB,,,,,,,,,,,,,,,,
,,77,Cyprus,CYP,,,,,,,,,,,,,,,,
,,47,Czech Republic,CZE,,,,,,,,,,,,,,,,
,,171,Democratic Republic of the Congo,COD,,,,,,,,,,,,,,,,
,,78,Denmark,DNK,,,,,,,,,,,,,,,,
,,177,Djibouti,DJI,,,,,,,,,,,,,,,,
,,110,Dominica,DMA,,,,,,,,,,,,,,,,
,,111,Dominican Republic,DOM,,,,,,,,,,,,,,,,
,,122,Ecuador,ECU,,,,,,,,,,,,,,,,
,,141,Egypt,EGY,,,,,,,,,,,,,,,,
,,127,El Salvador,SLV,,,,,,,,,,,,,,,,
,,172,Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,
,,178,Eritrea,ERI,,,,,,,,,,,,,,,,
,,58,Estonia,EST,,,,,,,,,,,,,,,,
,,179,Ethiopia,ETH,,,,,,,,,,,,,,,,
,,25,Federated States of Micronesia,FSM,,,,,,,,,,,,,,,,
,,22,Fiji,FJI,,,,,,,,,,,,,,,,
,,79,Finland,FIN,,,,,,,,,,,,,,,,
,,80,France,FRA,,,,,,,,,,,,,,,,
,,173,Gabon,GAB,,,,,,,,,,,,,,,,
,,35,Georgia,GEO,,,,,,,,,,,,,,,,
,,81,Germany,DEU,,,,,,,,,,,,,,,,
,,207,Ghana,GHA,,,,,,,,,,,,,,,,
,,82,Greece,GRC,,,,,,,,,,,,,,,,
,,112,Grenada,GRD,,,,,,,,,,,,,,,,
,,128,Guatemala,GTM,,,,,,,,,,,,,,,,
,,208,Guinea,GIN,,,,,,,,,,,,,,,,
,,209,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,
,,113,Guyana,GUY,,,,,,,,,,,,,,,,
,,114,Haiti,HTI,,,,,,,,,,,,,,,,
,,44575,High Income,,,,,,,,,,,,,,,,,
,,64,High-income,,,,,,,,,,,,,,,,,
,,129,Honduras,HND,,,,,,,,,,,,,,,,
,,48,Hungary,HUN,,,,,,,,,,,,,,,,
,,83,Iceland,ISL,,,,,,,,,,,,,,,,
,,163,India,IND,,,,,,,,,,,,,,,,
,,11,Indonesia,IDN,,,,,,,,,,,,,,,,
,,142,Iran,IRN,,,,,,,,,,,,,,,,
,,143,Iraq,IRQ,,,,,,,,,,,,,,,,
,,84,Ireland,IRL,,,,,,,,,,,,,,,,
,,85,Israel,ISR,,,,,,,,,,,,,,,,
,,86,Italy,ITA,,,,,,,,,,,,,,,,
,,115,Jamaica,JAM,,,,,,,,,,,,,,,,
,,67,Japan,JPN,,,,,,,,,,,,,,,,
,,144,Jordan,JOR,,,,,,,,,,,,,,,,
,,36,Kazakhstan,KAZ,,,,,,,,,,,,,,,,
,,180,Kenya,KEN,,,,,,,,,,,,,,,,
,,23,Kiribati,KIR,,,,,,,,,,,,,,,,
,,145,Kuwait,KWT,,,,,,,,,,,,,,,,
,,37,Kyrgyzstan,KGZ,,,,,,,,,,,,,,,,
,,12,Laos,LAO,,,,,,,,,,,,,,,,
,,103,Latin America and Caribbean,,,,,,,,,,,,,,,,,
,,59,Latvia,LVA,,,,,,,,,,,,,,,,
,,146,Lebanon,LBN,,,,,,,,,,,,,,,,
,,194,Lesotho,LSO,,,,,,,,,,,,,,,,
,,210,Liberia,LBR,,,,,,,,,,,,,,,,
,,147,Libya,LBY,,,,,,,,,,,,,,,,
,,60,Lithuania,LTU,,,,,,,,,,,,,,,,
,,44578,Lower Income,,,,,,,,,,,,,,,,,
,,44577,Lower Middle Income,,,,,,,,,,,,,,,,,
,,87,Luxembourg,LUX,,,,,,,,,,,,,,,,
,,49,Macedonia,MKD,,,,,,,,,,,,,,,,
,,181,Madagascar,MDG,,,,,,,,,,,,,,,,
,,182,Malawi,MWI,,,,,,,,,,,,,,,,
,,13,Malaysia,MYS,,,,,,,,,,,,,,,,
,,14,Maldives,MDV,,,,,,,,,,,,,,,,
,,211,Mali,MLI,,,,,,,,,,,,,,,,
,,88,Malta,MLT,,,,,,,,,,,,,,,,
,,24,Marshall Islands,MHL,,,,,,,,,,,,,,,,
,,212,Mauritania,MRT,,,,,,,,,,,,,,,,
,,183,Mauritius,MUS,,,,,,,,,,,,,,,,
,,130,Mexico,MEX,,,,,,,,,,,,,,,,
,,61,Moldova,MDA,,,,,,,,,,,,,,,,
,,38,Mongolia,MNG,,,,,,,,,,,,,,,,
,,50,Montenegro,MNE,,,,,,,,,,,,,,,,
,,148,Morocco,MAR,,,,,,,,,,,,,,,,
,,184,Mozambique,MOZ,,,,,,,,,,,,,,,,
,,15,Myanmar,MMR,,,,,,,,,,,,,,,,
,,195,Namibia,NAM,,,,,,,,,,,,,,,,
,,164,Nepal,NPL,,,,,,,,,,,,,,,,
,,89,Netherlands,NLD,,,,,,,,,,,,,,,,
,,72,New Zealand,NZL,,,,,,,,,,,,,,,,
,,131,Nicaragua,NIC,,,,,,,,,,,,,,,,
,,213,Niger,NER,,,,,,,,,,,,,,,,
,,214,Nigeria,NGA,,,,,,,,,,,,,,,,
,,137,North Africa and Middle East,,,,,,,,,,,,,,,,,
,,90,Norway,NOR,,,,,,,,,,,,,,,,
,,150,Oman,OMN,,,,,,,,,,,,,,,,
,,165,Pakistan,PAK,,,,,,,,,,,,,,,,
,,132,Panama,PAN,,,,,,,,,,,,,,,,
,,26,Papua New Guinea,PNG,,,,,,,,,,,,,,,,
,,136,Paraguay,PRY,,,,,,,,,,,,,,,,
,,123,Peru,PER,,,,,,,,,,,,,,,,
,,16,Philippines,PHL,,,,,,,,,,,,,,,,
,,51,Poland,POL,,,,,,,,,,,,,,,,
,,91,Portugal,PRT,,,,,,,,,,,,,,,,
,,151,Qatar,QAT,,,,,,,,,,,,,,,,
,,52,Romania,ROU,,,,,,,,,,,,,,,,
,,62,Russia,RUS,,,,,,,,,,,,,,,,
,,185,Rwanda,RWA,,,,,,,,,,,,,,,,
,,116,Saint Lucia,LCA,,,,,,,,,,,,,,,,
,,117,Saint Vincent and the Grenadines,VCT,,,,,,,,,,,,,,,,
,,27,Samoa,WSM,,,,,,,,,,,,,,,,
,,215,Sao Tome and Principe,STP,,,,,,,,,,,,,,,,
,,152,Saudi Arabia,SAU,,,,,,,,,,,,,,,,
,,216,Senegal,SEN,,,,,,,,,,,,,,,,
,,53,Serbia,SRB,,,,,,,,,,,,,,,,
,,186,Seychelles,SYC,,,,,,,,,,,,,,,,
,,217,Sierra Leone,SLE,,,,,,,,,,,,,,,,
,,69,Singapore,SGP,,,,,,,,,,,,,,,,
,,54,Slovakia,SVK,,,,,,,,,,,,,,,,
,,55,Slovenia,SVN,,,,,,,,,,,,,,,,
,,28,Solomon Islands,SLB,,,,,,,,,,,,,,,,
,,187,Somalia,SOM,,,,,,,,,,,,,,,,
,,196,South Africa,ZAF,,,,,,,,,,,,,,,,
,,158,South Asia,,,,,,,,,,,,,,,,,
,,68,South Korea,KOR,,,,,,,,,,,,,,,,
,,435,South Sudan,SSD,,,,,,,,,,,,,,,,
,,4,"Southeast Asia, East Asia, and Oceania",,,,,,,,,,,,,,,,,
,,92,Spain,ESP,,,,,,,,,,,,,,,,
,,17,Sri Lanka,LKA,,,,,,,,,,,,,,,,
,,166,Sub-Saharan Africa,,,,,,,,,,,,,,,,,
,,522,Sudan,SDN,,,,,,,,,,,,,,,,
,,118,Suriname,SUR,,,,,,,,,,,,,,,,
,,197,Swaziland,SWZ,,,,,,,,,,,,,,,,
,,93,Sweden,SWE,,,,,,,,,,,,,,,,
,,94,Switzerland,CHE,,,,,,,,,,,,,,,,
,,153,Syria,SYR,,,,,,,,,,,,,,,,
,,39,Tajikistan,TJK,,,,,,,,,,,,,,,,
,,189,Tanzania,TZA,,,,,,,,,,,,,,,,
,,18,Thailand,THA,,,,,,,,,,,,,,,,
,,106,The Bahamas,BHS,,,,,,,,,,,,,,,,
,,206,The Gambia,GMB,,,,,,,,,,,,,,,,
,,19,Timor-Leste,TLS,,,,,,,,,,,,,,,,
,,218,Togo,TGO,,,,,,,,,,,,,,,,
,,29,Tonga,TON,,,,,,,,,,,,,,,,
,,119,Trinidad and Tobago,TTO,,,,,,,,,,,,,,,,
,,154,Tunisia,TUN,,,,,,,,,,,,,,,,
,,155,Turkey,TUR,,,,,,,,,,,,,,,,
,,40,Turkmenistan,TKM,,,,,,,,,,,,,,,,
,,190,Uganda,UGA,,,,,,,,,,,,,,,,
,,63,Ukraine,UKR,,,,,,,,,,,,,,,,
,,156,United Arab Emirates,ARE,,,,,,,,,,,,,,,,
,,95,United Kingdom,GBR,,,,,,,,,,,,,,,,
,,102,United States,USA,,,,,,,,,,,,,,,,
,,44576,Upper Middle Income,,,,,,,,,,,,,,,,,
,,99,Uruguay,URY,,,,,,,,,,,,,,,,
,,41,Uzbekistan,UZB,,,,,,,,,,,,,,,,
,,30,Vanuatu,VUT,,,,,,,,,,,,,,,,
,,133,Venezuela,VEN,,,,,,,,,,,,,,,,
,,20,Vietnam,VNM,,,,,,,,,,,,,,,,
,,157,Yemen,YEM,,,,,,,,,,,,,,,,
,,191,Zambia,ZMB,,,,,,,,,,,,,,,,
