location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,pop
1,Global,1,Male,1,Under 5,2014,329083524
1,Global,2,Female,1,Under 5,2014,308246238.8
1,Global,3,Both,1,Under 5,2014,637329762.7
1,Global,1,Male,1,Under 5,2015,327943298.4
1,Global,2,Female,1,Under 5,2015,307363083
1,Global,3,Both,1,Under 5,2015,635306381.4
1,Global,1,Male,1,Under 5,2016,326098660.6
1,Global,2,Female,1,Under 5,2016,305872317.6
1,Global,3,Both,1,Under 5,2016,631970978.2
1,Global,1,Male,2,Early Neonatal,2014,1287383.91
1,Global,2,Female,2,Early Neonatal,2014,1204498.18
1,Global,3,Both,2,Early Neonatal,2014,2491882.091
1,Global,1,Male,2,Early Neonatal,2015,1269233.19
1,Global,2,Female,2,Early Neonatal,2015,1190191.916
1,Global,3,Both,2,Early Neonatal,2015,2459425.106
1,Global,1,Male,2,Early Neonatal,2016,1265206.5
1,Global,2,Female,2,Early Neonatal,2016,1187006.115
1,Global,3,Both,2,Early Neonatal,2016,2452212.615
1,Global,1,Male,3,Late Neonatal,2014,3823769.067
1,Global,2,Female,3,Late Neonatal,2014,3584208.928
1,Global,3,Both,3,Late Neonatal,2014,7407977.995
1,Global,1,Male,3,Late Neonatal,2015,3771638.833
1,Global,2,Female,3,Late Neonatal,2015,3542942.825
1,Global,3,Both,3,Late Neonatal,2015,7314581.658
1,Global,1,Male,3,Late Neonatal,2016,3759228.14
1,Global,2,Female,3,Late Neonatal,2016,3533129.166
1,Global,3,Both,3,Late Neonatal,2016,7292357.306
1,Global,1,Male,4,Post Neonatal,2014,61092974.5
1,Global,2,Female,4,Post Neonatal,2014,57270913.76
1,Global,3,Both,4,Post Neonatal,2014,118363888.3
1,Global,1,Male,4,Post Neonatal,2015,60414699.86
1,Global,2,Female,4,Post Neonatal,2015,56707252.73
1,Global,3,Both,4,Post Neonatal,2015,117121952.6
1,Global,1,Male,4,Post Neonatal,2016,59902509.19
1,Global,2,Female,4,Post Neonatal,2016,56306557.14
1,Global,3,Both,4,Post Neonatal,2016,116209066.3
1,Global,1,Male,5,1 to 4,2014,262879396.5
1,Global,2,Female,5,1 to 4,2014,246186617.9
1,Global,3,Both,5,1 to 4,2014,509066014.4
1,Global,1,Male,5,1 to 4,2015,262487726.5
1,Global,2,Female,5,1 to 4,2015,245922695.5
1,Global,3,Both,5,1 to 4,2015,508410422
1,Global,1,Male,5,1 to 4,2016,261171716.8
1,Global,2,Female,5,1 to 4,2016,244845625.2
1,Global,3,Both,5,1 to 4,2016,506017342
1,Global,1,Male,6,5 to 9,2014,326343672.2
1,Global,2,Female,6,5 to 9,2014,304769321.8
1,Global,3,Both,6,5 to 9,2014,631112994
1,Global,1,Male,6,5 to 9,2015,328943157.2
1,Global,2,Female,6,5 to 9,2015,307267751.2
1,Global,3,Both,6,5 to 9,2015,636210908.4
1,Global,1,Male,6,5 to 9,2016,331974532.6
1,Global,2,Female,6,5 to 9,2016,310169613.6
1,Global,3,Both,6,5 to 9,2016,642144146.2
1,Global,1,Male,7,10 to 14,2014,311762103.5
1,Global,2,Female,7,10 to 14,2014,291223830.8
1,Global,3,Both,7,10 to 14,2014,602985934.3
1,Global,1,Male,7,10 to 14,2015,313914949.6
1,Global,2,Female,7,10 to 14,2015,293114197.2
1,Global,3,Both,7,10 to 14,2015,607029146.8
1,Global,1,Male,7,10 to 14,2016,316028250
1,Global,2,Female,7,10 to 14,2016,295026468.8
1,Global,3,Both,7,10 to 14,2016,611054718.8
1,Global,1,Male,8,15 to 19,2014,305237582.5
1,Global,2,Female,8,15 to 19,2014,286300012.3
1,Global,3,Both,8,15 to 19,2014,591537594.9
1,Global,1,Male,8,15 to 19,2015,304881409.6
1,Global,2,Female,8,15 to 19,2015,285695800.5
1,Global,3,Both,8,15 to 19,2015,590577210.1
1,Global,1,Male,8,15 to 19,2016,305032447.5
1,Global,2,Female,8,15 to 19,2016,285600271
1,Global,3,Both,8,15 to 19,2016,590632718.5
1,Global,1,Male,9,20 to 24,2014,312613390.5
1,Global,2,Female,9,20 to 24,2014,295666572
1,Global,3,Both,9,20 to 24,2014,608279962.5
1,Global,1,Male,9,20 to 24,2015,310903999.3
1,Global,2,Female,9,20 to 24,2015,293418530.9
1,Global,3,Both,9,20 to 24,2015,604322530.2
1,Global,1,Male,9,20 to 24,2016,309338165.1
1,Global,2,Female,9,20 to 24,2016,291360792.2
1,Global,3,Both,9,20 to 24,2016,600698957.3
1,Global,1,Male,10,25 to 29,2014,307760734
1,Global,2,Female,10,25 to 29,2014,295441012.5
1,Global,3,Both,10,25 to 29,2014,603201746.6
1,Global,1,Male,10,25 to 29,2015,311599635.1
1,Global,2,Female,10,25 to 29,2015,298382930.3
1,Global,3,Both,10,25 to 29,2015,609982565.4
1,Global,1,Male,10,25 to 29,2016,313828626.7
1,Global,2,Female,10,25 to 29,2016,299769449.1
1,Global,3,Both,10,25 to 29,2016,613598075.8
1,Global,1,Male,11,30 to 34,2014,273250176.3
1,Global,2,Female,11,30 to 34,2014,265583158
1,Global,3,Both,11,30 to 34,2014,538833334.3
1,Global,1,Male,11,30 to 34,2015,279109735.9
1,Global,2,Female,11,30 to 34,2015,271011763.3
1,Global,3,Both,11,30 to 34,2015,550121499.2
1,Global,1,Male,11,30 to 34,2016,285417059.5
1,Global,2,Female,11,30 to 34,2016,276818002.9
1,Global,3,Both,11,30 to 34,2016,562235062.4
1,Global,1,Male,12,35 to 39,2014,250497947.9
1,Global,2,Female,12,35 to 39,2014,244236793.1
1,Global,3,Both,12,35 to 39,2014,494734741
1,Global,1,Male,12,35 to 39,2015,252191858.3
1,Global,2,Female,12,35 to 39,2015,246183576.7
1,Global,3,Both,12,35 to 39,2015,498375435
1,Global,1,Male,12,35 to 39,2016,254821424.9
1,Global,2,Female,12,35 to 39,2016,249040525.5
1,Global,3,Both,12,35 to 39,2016,503861950.4
1,Global,1,Male,13,40 to 44,2014,244244868.7
1,Global,2,Female,13,40 to 44,2014,238590877.1
1,Global,3,Both,13,40 to 44,2014,482835745.7
1,Global,1,Male,13,40 to 44,2015,245531348.6
1,Global,2,Female,13,40 to 44,2015,239810269.5
1,Global,3,Both,13,40 to 44,2015,485341618.1
1,Global,1,Male,13,40 to 44,2016,246196997.8
1,Global,2,Female,13,40 to 44,2016,240702595.7
1,Global,3,Both,13,40 to 44,2016,486899593.5
1,Global,1,Male,14,45 to 49,2014,224857559.6
1,Global,2,Female,14,45 to 49,2014,222619118.7
1,Global,3,Both,14,45 to 49,2014,447476678.2
1,Global,1,Male,14,45 to 49,2015,228799609.7
1,Global,2,Female,14,45 to 49,2015,226334904
1,Global,3,Both,14,45 to 49,2015,455134513.7
1,Global,1,Male,14,45 to 49,2016,231963280.9
1,Global,2,Female,14,45 to 49,2016,229291574
1,Global,3,Both,14,45 to 49,2016,461254854.9
1,Global,1,Male,15,50 to 54,2014,194607358.4
1,Global,2,Female,15,50 to 54,2014,195378237
1,Global,3,Both,15,50 to 54,2014,389985595.4
